station_type,ID,Name,lat,long
ASOS_weather,AXX,Angelfire,36.422,-105.2899
SNOTEL,1170,Palo,36.416666,-105.33333
USGS Stream,8269000,RIO PUEBLO DE TAOS NEAR TAOS,36.43944444,-105.5036111
